network_name,price_past,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,5,1.623076923076923e-05,526668.7221050786,580.3796622983871,0.03155589165210454,812429.8842261905,689.4588059198288,0.01652571963412421
GRU,5,7.461538461538462e-05,479448.1677204483,569.2638317185633,0.03236835651260709,311712.4952752976,413.54490763346354,0.009843266910562913
LSTM,5,0.0005684615384615,509448.215483817,650.0176002930855,0.03544770146636938,253329.58095238096,361.09537324451264,0.00851803934645085
RNN,5,6.076923076923077e-06,1446326.5377242751,1007.9791795008214,0.057193074653272606,510343.04226190475,543.1800388881138,0.013108127927851109
LSTM_GRU,5,1.1153846153846154e-05,1078729.5758900158,813.4888167842741,0.04755005342145347,130864.37027529762,241.5130570911226,0.005923100911258232
RNN_GRU,5,9.746153846153844e-05,3889597.5699248547,1768.3915782276733,0.09829133127462325,605539.4691964285,600.4355895996093,0.014866363789354051
CNN,15,9.492307692307692e-05,540703.9605505429,596.8742194500448,0.03367643728409494,1176470.7330357144,805.6941266741071,0.01862015858115185
GRU,15,9.746153846153844e-05,1026183.0993298083,828.1113689609468,0.04770990805673408,481610.1341703869,506.5425399053664,0.01202715721336149
LSTM,15,0.0002384615384615,1435647.6937493037,958.9583555014187,0.05569031182243647,444378.4150297619,485.3892833891369,0.011566995820474057
RNN,15,8.73076923076923e-05,1700246.9487861944,1091.4897011742084,0.06225272112015287,653866.8607886905,605.8021661667597,0.014570663106583413
LSTM_GRU,15,4.9230769230769225e-05,864402.4334789354,716.2823525705645,0.04199661639415034,274901.67196800595,360.4409390404111,0.008734990709594317
RNN_GRU,15,7.969230769230769e-05,2812081.8591118315,1459.767387946162,0.08227514482807831,724535.0178571428,642.9230768112909,0.015496734911132426
CNN,30,2.6384615384615384e-05,533878.3037405207,593.2291036626344,0.033015759889426,1290120.236235119,853.185895937965,0.020026545208834467
GRU,30,8.984615384615384e-05,647463.6473525856,670.4896451706243,0.03817184604589112,702350.7362723214,608.6641887846447,0.014469772767985152
LSTM,30,0.00034,313342.0452462109,452.6779152199074,0.025751942241633727,606888.6662202381,557.3501820882161,0.013138679086807228
RNN,30,9.492307692307692e-05,1094768.8972442471,872.9377881851105,0.04973676530606505,738430.0683779762,645.0425191243489,0.015514750370667095
LSTM_GRU,30,0.0001,711579.6237130616,647.7595544448178,0.03796233424181687,285658.9137276786,374.3195267450242,0.00895902449043379
RNN_GRU,30,6.953846153846154e-05,2709481.842515205,1416.542778571162,0.08021700370398152,874556.0802827381,697.6358058384486,0.016667600206675983
