,network_name,mae_15_100,feature,mae_30_100,mae_15_500,mae_30_500
0,CNN,635.2459075089139,Price-Only,541.7570618477916,594.214681135426,699.9288420500578
1,GRU,607.9861030897644,Price-Only,373.4964755661029,549.9301537590072,976.9831173986802
2,LSTM,694.7275591887881,Price-Only,804.3936500686044,987.6452525878324,931.135228092098
3,LSTM_GRU,1083.0698927648036,Price-Only,1016.9374100150744,850.8352731866506,758.6159091890214
4,RNN,808.1637524384894,Price-Only,745.2336748093545,1125.8025427377352,1050.05678880115
5,RNN_GRU,1031.6001438883754,Price-Only,1067.1345341726872,1365.0257998595243,972.7563456144528
6,CNN,586.2836480739313,Bert,659.5611063986508,586.5357326050686,533.8113488727869
7,CNN,575.532439172698,Flair,692.363552887692,497.7553418532423,636.7925398374174
8,CNN,642.0216587611607,Roberta,791.5950311133479,479.197964050381,723.5728155663396
9,CNN,587.0944630456349,TB_Polarity,645.1271387302021,633.8784107466969,885.7031399984002
10,CNN,639.2895123810652,TB_Subjectivity,564.6011150477283,510.3832840472245,653.6978922248294
11,CNN,681.0352726835881,Vader,708.4137602405743,576.0402777425483,520.9622206964591
12,GRU,515.2519839508365,Bert,703.7516548234855,627.1219600440792,459.4432664682434
13,GRU,572.1437019469246,Flair,366.20160995327166,547.3266561048544,527.1183977875693
14,GRU,552.0357933760033,Roberta,624.7714560446885,515.6679254176813,499.0656084184354
15,GRU,447.8033362714759,TB_Polarity,550.8216411082818,643.1285386298814,423.04626089883743
16,GRU,475.7047770886882,TB_Subjectivity,517.1228410636198,722.9380432393127,528.053064756426
17,GRU,483.0821387000586,Vader,613.0018218889985,485.6817123170883,430.59152315419686
18,LSTM,608.93515177585,Bert,398.26584518484697,903.986082046751,685.4516205771384
19,LSTM,669.3944296128134,Flair,576.5097772904223,984.8575462352318,593.5796831671288
20,LSTM,562.4627361435223,Roberta,583.5800602102443,926.1341515743372,775.4371333724403
21,LSTM,487.8562663465007,TB_Polarity,309.08394021304395,728.9271791576479,757.7468865820979
22,LSTM,518.6100873410444,TB_Subjectivity,570.3226299611375,771.1507686378292,781.2002090610334
23,LSTM,559.1260204232616,Vader,331.0374180920702,987.7951022501804,416.1320496647024
24,LSTM_GRU,824.4262564963249,Bert,953.8238787862628,814.0224507209371,411.9124810020264
25,LSTM_GRU,922.1547907929744,Flair,673.2606480308767,566.0122139010078,346.8900713090604
26,LSTM_GRU,696.0328034460115,Roberta,950.806047771571,660.497943476337,484.54811528436966
27,LSTM_GRU,890.3573739628428,TB_Polarity,903.859624556714,734.9259750124008,370.16189023170864
28,LSTM_GRU,886.1145340119949,TB_Subjectivity,660.6702805867374,515.0305427672371,416.0546929160889
29,LSTM_GRU,676.3580084466315,Vader,959.413313413236,752.293570118033,372.9120148017545
30,RNN,521.4155155418583,Bert,619.1966881865934,845.4839119078621,680.485953581618
31,RNN,534.9000467848124,Flair,603.9192673614814,718.0201414254149,668.3600715923635
32,RNN,612.6947313889452,Roberta,786.6328916582231,984.0118860902552,735.6567324485388
33,RNN,523.2195065541013,TB_Polarity,672.7785119587244,858.6399251654378,649.0542625453285
34,RNN,515.7160926367469,TB_Subjectivity,517.4633924464724,888.1826392059546,741.4405209277677
35,RNN,515.6120670643376,Vader,715.1418069572579,842.8712639086174,683.5115654330205
36,RNN_GRU,672.1685283710431,Bert,1612.816085034263,1260.2059630907288,796.798040708991
37,RNN_GRU,770.9275841210656,Flair,1726.2892212330685,1065.1595672123017,862.9954767324818
38,RNN_GRU,721.1048039688177,Roberta,1696.8855380426087,1187.2730034722222,1089.6766078284984
39,RNN_GRU,668.9583986841067,TB_Polarity,1147.5161824405398,1182.0699256797889,1030.224653536956
40,RNN_GRU,741.2055787365846,TB_Subjectivity,970.1362271357722,1355.7150843676725,1005.7906648290848
41,RNN_GRU,937.52941242785,Vader,1321.0036546101749,1186.1215644164863,1048.1736414782424
